,PUMA,GQ,OWNERSHP,FAMSIZE,NCHILD,AGE,SEX,MARST,RACE,HISPAN,EDUC,INDNAICS,SECTOR,INCTOT,INCTOT_DECILE,POVERTY,DENSITY,VETDISAB,DIFFREM,DIFFPHYS,DIFFEYE,DIFFHEAR,HHWT,PERWT
1402268,25-503,4,0,1,0,18,1,6,1,0,6,722Z    ,72,5000,1,0,2872.7,0,1,1,1,1,72.0,72.0
1402273,25-703,4,0,1,0,21,2,6,1,0,7,4MS     ,44,0,0,0,2195.3,0,1,1,1,1,6.0,6.0
1402285,25-503,4,0,1,0,22,2,6,6,0,10,5413    ,54,18000,2,0,2872.7,0,1,1,1,1,80.0,80.0
1402289,25-1300,3,0,1,0,58,1,6,1,0,8,       0,0,0,0,0,1457.2,0,2,1,1,1,57.0,57.0
1402291,25-703,4,0,1,0,18,2,6,1,0,6,713Z    ,71,3300,1,0,2195.3,0,1,1,1,1,24.0,24.0
1402311,25-703,4,0,1,0,18,1,6,8,0,6,56173   ,56,200000,8,0,2195.3,0,1,1,1,1,90.0,90.0
1402323,25-503,4,0,1,0,21,2,6,1,0,7,722Z    ,72,1000,0,0,2872.7,0,1,1,1,1,24.0,24.0
1402327,25-503,4,0,1,0,18,1,6,1,0,7,       0,0,0,0,0,2872.7,0,1,1,1,1,58.0,58.0
1402331,25-1000,3,0,1,0,57,2,2,1,0,6,       0,0,17200,2,0,2447.1,0,1,2,1,1,69.0,69.0
1402337,25-503,4,0,1,0,20,1,6,1,0,6,4481    ,44,11300,2,0,2872.7,0,1,1,1,1,75.0,75.0
1402348,25-503,3,0,1,0,89,2,6,1,0,8,       0,0,0,0,0,2872.7,0,2,2,2,2,70.0,70.0
1402365,25-1300,4,0,1,0,57,2,4,1,0,7,4533    ,45,12300,2,93,1457.2,0,1,1,1,1,10.0,10.0
1402367,25-1300,4,0,1,0,18,1,6,1,0,6,       0,0,0,0,0,1457.2,0,2,1,1,1,72.0,72.0
1402400,25-503,4,0,1,0,19,1,6,1,0,7,4511M   ,45,2000,1,0,2872.7,0,1,1,1,1,69.0,69.0
1402425,25-703,4,0,1,0,21,2,6,1,0,7,611M1   ,61,6000,1,0,2195.3,0,2,1,1,1,13.0,13.0
1402429,25-503,4,0,1,0,21,2,6,1,0,7,611M1   ,61,11600,2,0,2872.7,0,1,1,1,1,32.0,32.0
