,PUMA,GQ,OWNERSHP,FAMSIZE,NCHILD,AGE,SEX,MARST,RACE,HISPAN,EDUC,INDNAICS,SECTOR,INCTOT,INCTOT_DECILE,POVERTY,DENSITY,VETDISAB,DIFFREM,DIFFPHYS,DIFFEYE,DIFFHEAR,HHWT,PERWT
37,1-1301,4,0,1,0,18,2,6,8,0,6,       0,0,0,0,0,2731.2,0,1,1,1,1,79.0,79.0
84,1-1301,4,0,1,0,27,1,6,1,0,7,333MS   ,33,15400,3,116,2731.2,0,1,1,1,1,5.0,5.0
85,1-1301,3,0,1,0,74,2,5,2,0,10,       0,0,12900,3,0,2731.2,0,1,2,1,1,19.0,19.0
95,1-1301,4,0,1,0,22,1,6,1,0,7,       0,0,0,0,0,2731.2,0,1,1,1,1,10.0,10.0
152,1-1301,4,0,1,0,18,2,6,1,0,6,       0,0,0,0,0,2731.2,0,1,1,1,1,85.0,85.0
156,1-1301,4,0,1,0,20,1,6,1,0,7,       0,0,0,0,0,2731.2,0,1,1,1,1,29.0,29.0
219,1-1301,4,0,1,0,20,1,6,2,4,6,       0,0,0,0,0,2731.2,0,1,1,1,1,79.0,79.0
258,1-1301,3,0,1,0,89,1,5,2,0,5,       0,0,35400,5,0,2731.2,0,1,2,1,1,14.0,14.0
277,1-1301,4,0,1,0,21,2,6,1,0,7,       0,0,0,0,0,2731.2,0,1,1,1,1,57.0,57.0
326,1-1301,4,0,1,0,21,2,6,1,0,7,       0,0,0,0,0,2731.2,0,1,1,1,1,34.0,34.0
355,1-1301,3,0,1,0,83,2,6,6,0,6,       0,0,9300,2,0,2731.2,0,2,2,1,1,11.0,11.0
400,1-1301,3,0,1,0,62,1,6,2,0,6,       0,0,22800,4,0,2731.2,0,1,2,1,1,15.0,15.0
403,1-1301,4,0,1,0,21,1,6,1,0,7,       0,0,0,0,0,2731.2,0,1,1,1,1,9.0,9.0
417,1-1301,4,0,1,0,19,2,6,1,0,7,611M1   ,61,10000,2,0,2731.2,0,1,1,1,1,90.0,90.0
431,1-1301,4,0,1,0,18,2,6,1,0,6,       0,0,0,0,0,2731.2,0,1,1,1,1,76.0,76.0
451,1-1301,4,0,1,0,18,2,6,8,0,6,       0,0,0,0,0,2731.2,0,1,1,1,1,73.0,73.0
499,1-1301,3,0,1,0,79,1,5,2,0,6,       0,0,27600,4,0,2731.2,0,1,2,1,1,15.0,15.0
566,1-1301,4,0,1,0,21,2,6,1,0,7,611M1   ,61,430,1,0,2731.2,0,1,1,1,1,89.0,89.0
581,1-1301,4,0,1,0,28,2,2,1,0,7,       0,0,0,0,1,2731.2,0,1,1,1,1,95.0,95.0
705,1-1301,3,0,1,0,66,1,6,2,0,2,       0,0,14000,3,0,2731.2,0,2,2,1,1,11.0,11.0
754,1-1301,3,0,1,0,79,1,4,2,0,6,       0,0,27600,4,0,2731.2,0,2,2,1,1,21.0,21.0
762,1-1301,3,0,1,0,57,1,6,2,0,5,23      ,23,20000,3,0,2731.2,0,1,1,1,1,16.0,16.0
772,1-1301,3,0,1,0,66,1,4,2,0,5,       0,0,3800,1,0,2731.2,0,1,1,1,1,14.0,14.0
781,1-1301,4,0,1,0,20,1,6,1,0,7,       0,0,0,0,0,2731.2,0,1,1,1,1,65.0,65.0
793,1-1301,3,0,1,0,66,1,6,2,0,6,       0,0,4400,1,0,2731.2,0,2,2,2,1,67.0,67.0
848,1-1301,3,0,1,0,66,1,6,2,0,6,       0,0,4400,1,0,2731.2,0,2,2,2,1,15.0,15.0
869,1-1301,4,0,1,0,19,1,6,1,0,7,       0,0,0,0,0,2731.2,0,1,1,1,1,37.0,37.0
885,1-1301,4,0,1,0,25,1,4,1,0,6,5613    ,56,150,1,1,2731.2,0,2,1,1,1,18.0,18.0
894,1-1301,4,0,1,0,70,1,4,1,0,2,       0,0,22300,4,184,2731.2,0,2,1,1,2,11.0,11.0
918,1-1301,4,0,1,0,21,2,6,1,0,7,       0,0,0,0,0,2731.2,0,1,1,1,1,112.0,112.0
919,1-1301,4,0,1,0,19,2,6,1,0,6,       0,0,0,0,0,2731.2,0,1,1,1,1,65.0,65.0
