,PUMA,GQ,OWNERSHP,FAMSIZE,NCHILD,AGE,SEX,MARST,RACE,HISPAN,EDUC,INDNAICS,SECTOR,INCTOT,INCTOT_DECILE,POVERTY,DENSITY,VETDISAB,DIFFREM,DIFFPHYS,DIFFEYE,DIFFHEAR,HHWT,PERWT
2681270,48-2510,3,0,1,0,63,1,4,1,0,8,       0,0,0,0,0,3092.4,0,1,2,1,2,21.0,21.0
2681361,48-2102,3,0,1,0,45,1,4,1,0,6,       0,0,0,0,0,450.9,0,1,1,1,1,74.0,74.0
2681459,48-2101,3,0,1,0,74,1,2,1,0,7,       0,0,26400,4,0,357.4,0,2,2,1,1,13.0,13.0
2681464,48-2510,3,0,1,0,75,2,4,1,0,7,       0,0,0,0,0,3092.4,0,2,2,1,1,25.0,25.0
2681499,48-2102,4,0,1,0,63,2,4,1,0,4,       0,0,520,1,3,450.9,0,2,2,2,2,3.0,3.0
2681632,48-2515,3,0,1,0,33,2,6,1,0,6,44511   ,44,700,1,0,2134.8,0,2,1,1,1,92.0,92.0
2681716,48-2515,3,0,1,0,44,1,4,1,4,6,722Z    ,72,44000,5,0,2134.8,0,1,1,1,1,93.0,93.0
2681723,48-2507,4,0,1,0,60,2,6,2,0,6,       0,0,9300,2,70,3731.1,0,1,2,1,1,3.0,3.0
2681742,48-2102,3,0,1,0,35,1,4,1,0,6,       0,0,0,0,0,450.9,0,1,1,1,1,51.0,51.0
2681769,48-2101,4,0,1,0,21,2,6,1,0,7,515     ,51,790,1,0,357.4,0,1,1,1,1,24.0,24.0
2681793,48-2507,4,0,1,0,92,2,5,1,0,7,       0,0,23000,3,190,3731.1,0,1,2,2,1,16.0,16.0
2681797,48-2515,3,0,1,0,56,2,4,1,0,6,       0,0,0,0,0,2134.8,0,1,1,1,2,45.0,45.0
2681814,48-2515,3,0,1,0,35,2,6,6,1,6,45113   ,45,14400,2,0,2134.8,0,1,1,1,1,93.0,93.0
2681815,48-2101,3,0,1,0,46,2,4,1,0,7,       0,0,0,0,0,357.4,0,2,2,2,1,67.0,67.0
2681822,48-2515,3,0,1,0,92,2,5,1,0,5,       0,0,10100,2,0,2134.8,0,2,2,2,1,100.0,100.0
2681834,48-2515,3,0,1,0,66,1,4,1,1,5,       0,0,8600,2,0,2134.8,0,2,2,1,1,20.0,20.0
2681850,48-2515,4,0,1,0,23,1,6,1,1,6,928110P7,92,1400,1,0,2134.8,1,1,1,1,1,176.0,176.0
